id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
16266.0,Appareil fixe-Vast apparaat,Avenue de Villez,6.0,6980.0,La Roche en ardennes,Luxembourg,Piscine,Oui-Ja,Non-Nee,9h à 19h,50.179430249999996,5.583047445117144
16267.0,Appareil fixe-Vast apparaat,Route d Houffalize,18.0,6980.0,LA Roche en ardennes,Luxembourg,Accueil,Non-Nee,Non-Nee,10h - 17h,50.17535445,5.596142010898495
16268.0,Appareil fixe-Vast apparaat,Rue de La Roche,89.0,6987.0,Rendeux,Luxembourg,Accueil,Non-Nee,Non-Nee,10h - 17h,50.225702,5.527381401053578
16269.0,Appareil fixe-Vast apparaat,Chaussée de France,25.0,6840.0,Neufchateau,Luxembourg,Réception - accueil,Oui-Ja,Oui-Ja,,49.83725175,5.4293732205658785
16270.0,Appareil fixe-Vast apparaat,Clos des horlés,1.0,6760.0,Virton,Luxembourg,Accueil,Non-Nee,Non-Nee,10h - 17h,,
16271.0,Appareil fixe-Vast apparaat,Clos des Horlés,1.0,6760.0,Virton,Luxembourg,Piscine,Oui-Ja,Non-Nee,9h - 19h,,
16272.0,Appareil fixe-Vast apparaat,Herentalsesteenweg,64.0,2460.0,Kasterlee,Limburg,Accueil,Non-Nee,Non-Nee,10h - 20h,51.21303135,4.904042182499436
16273.0,Appareil fixe-Vast apparaat,Herentalsesteenweg,64.0,2460.0,Kasterlee,Luxembourg,Zwembad,Oui-Ja,Oui-Ja,,51.21303135,4.904042182499436
16274.0,Appareil fixe-Vast apparaat,Eekhoornlaan,1.0,2960.0,Brecht,Antwerpen,INGANG RESTAURANT,Oui-Ja,Oui-Ja,,51.3065833,4.586734594453053
16275.0,Appareil fixe-Vast apparaat,Tieltstraat ,29.0,8755.0,Ruiselede,Oost-Vlaanderen, ,Oui-Ja,Non-Nee,,51.03491005,3.39539402753525
16276.0,Appareil fixe-Vast apparaat,De Meeussquare,26.0,1000.0,BRUSSEL,Bruxelles-Brussel,Onthaal ,Oui-Ja,,,50.8402769,4.3704493
16277.0,Appareil fixe-Vast apparaat,Sportpleinstraat ,11.0,9220.0,Hamme,Oost-Vlaanderen,Vigor Wuitens Hamme - gelijkvloers - doorloop/overdekte gang van parking naar het A-terrein -eerste voetbalveld natuurgras,Non-Nee,Oui-Ja,,51.09330545,4.144604609377538
13035.0,Appareil fixe-Vast apparaat,Zuidstraat,18.0,8560.0,WEVELGEM,West-Vlaanderen,inkom werkplaats,Oui-Ja,,,50.78971455,3.1367667062662563
