geometry,address
POINT (5.551088938545655 50.577362050000005),"Country Hall du Sart Tilman, 13, Allée du Bol d'Air, 4000, Allée du Bol d'Air, Liège, Liège, België / Belgique / Belgien"
POINT (4.387030204693245 51.149112),"Atlas Copco, 957, Boomsesteenweg, 2610, Boomsesteenweg, Wilrijk, Antwerpen, België / Belgique / Belgien"
POINT (5.5830087 51.0420541),"2, Weg naar As, 3660, Weg naar As, Oudsbergen, Limburg, België / Belgique / Belgien"
POINT (4.4223738943016375 50.81648865),"Centre Scolaire du Souverain, Promenade du Chemin de fer - Spoorwegwandeling, 1160, Promenade du Chemin de fer - Spoorwegwandeling, Auderghem - Oudergem, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT EMPTY,
POINT EMPTY,
POINT (4.2470189 50.4585416),"Morlanwelz, Rue des Déportés, 7140, Rue des Déportés, Morlanwelz-Mariemont, Hainaut, België / Belgique / Belgien"
POINT (4.3516713 50.9083929),"Strombeek-Bever, 1853, Vlaams-Brabant, België / Belgique / Belgien"
POINT (3.19701661702454 51.214406499999996),"Bruges Technology Center, 16, Lieven Bauwensstraat, 8200, Lieven Bauwensstraat, Brugge, West-Vlaanderen, België / Belgique / Belgien"
POINT (4.83290390689059 51.05744905),"10, Door Van Dijckstraat, 2235, Door Van Dijckstraat, Hulshout, Antwerpen, België / Belgique / Belgien"
POINT (4.344611658782506 50.69487735),"PolyPeptide Belgium, 297, Chaussée de Tubize, 1420, Chaussée de Tubize, Braine-l’Alleud, Brabant wallon, België / Belgique / Belgien"
POINT (5.43162774285647 51.2291585),"15, Marktplein, 3910, Marktplein, Neerpelt, Limburg, België / Belgique / Belgien"
POINT (4.21803330120132 50.5415875),"Feluy zone industrielle  A, 7181, Seneffe, Hainaut, België / Belgique / Belgien"
POINT (5.55957896641609 50.60372365),"168, Rue de Renory, 4100, Rue de Renory, Seraing, Liège, België / Belgique / Belgien"
POINT (5.0877229 51.0674546),"Markt, 3980, Tessenderlo, Limburg, België / Belgique / Belgien"
POINT (3.527368539534888 50.984257150000005),"Stadhuis Deinze, 21, Markt, 9800, Markt, Deinze, Oost Vlanderen, België / Belgique / Belgien"
POINT (4.9436645 50.8030135),"Reizigersstraat, 3300, Tienen, Vlaams-Brabant, België / Belgique / Belgien"
POINT (4.3903633 50.3977949),"Marchienne-Zone, Cité du Nord, 6030, Cité du Nord, Charleroi, Hainaut, België / Belgique / Belgien"
POINT (4.3903633 50.3977949),"Marchienne-Zone, Cité du Nord, 6030, Cité du Nord, Charleroi, Hainaut, België / Belgique / Belgien"
POINT (4.976996850129503 50.74726135),"2, Rue Armand Dewolf, 1357, Rue Armand Dewolf, Hélécine, Brabant wallon, België / Belgique / Belgien"
POINT (4.3427924 50.1941164),"Rue de Froidchapelle, 6440, Froidchapelle, Hainaut, België / Belgique / Belgien"
POINT (4.6274774 50.6616919),"Louvain-la-Neuve Rue Lenoir, Avenue Jean Etienne Lenoir, 1348, Avenue Jean Etienne Lenoir, Louvain-la-Neuve, Brabant wallon, België / Belgique / Belgien"
POINT (4.2879054 51.2944794),"Ketenislaan, 9130, Beveren, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (4.5500805 50.4833834),"Administration communale de Fleurus, 5, Rue du Collège, 6220, Rue du Collège, Fleurus, Hainaut, België / Belgique / Belgien"
POINT (4.5325972 50.4530257),"Avenue du Marquis, 6220, Fleurus, Hainaut, België / Belgique / Belgien"
POINT (5.061300063554217 50.9877147),"Begijnhof Diest, 3290, België / Belgique / Belgien"
POINT (3.272541574965201 50.8025829),"2, President Kennedypark, 8500, President Kennedypark, Kortrijk, West-Vlaanderen, België / Belgique / Belgien"
POINT (5.6170293 50.6980274),"25, 3ème Avenue, 4040, 3ème Avenue, Herstal, Liège, België / Belgique / Belgien"
POINT (5.7965467 49.5729453),"Rue de Clémarais, 6790, Aubange, Luxembourg, België / Belgique / Belgien"
POINT (4.586920741558798 50.695291850000004),"9, Rue Joseph Dechamps, 1300, Rue Joseph Dechamps, Wavre, Brabant wallon, België / Belgique / Belgien"
POINT (4.586920741558798 50.695291850000004),"9, Rue Joseph Dechamps, 1300, Rue Joseph Dechamps, Wavre, Brabant wallon, België / Belgique / Belgien"
POINT (4.538047140409152 50.456218899999996),"23, Avenue de Spirou, 6220, Avenue de Spirou, Fleurus, Hainaut, België / Belgique / Belgien"
POINT (5.604435 50.6658729),"Rue de Herstal, 4040, Herstal, Liège, België / Belgique / Belgien"
POINT (4.4893987 50.7313729),"La Hulpe, 1310, Brabant wallon, België / Belgique / Belgien"
POINT (4.880828617784891 51.1496772),"Olen-Hoogbuul, 2250, Olen, Antwerpen, België / Belgique / Belgien"
POINT (4.4271123 50.8372647),"93, Avenue Charles Thielemans - Charles Thielemanslaan, 1150, Avenue Charles Thielemans - Charles Thielemanslaan, Woluwe-Saint-Pierre - Sint-Pieters-Woluwe, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.3903633 50.3977949),"Marchienne-Zone, Cité du Nord, 6030, Cité du Nord, Charleroi, Hainaut, België / Belgique / Belgien"
POINT (4.356571 50.8310052),"38, Chaussée de Charleroi - Charleroise Steenweg, 1060, Chaussée de Charleroi - Charleroise Steenweg, Saint-Gilles - Sint-Gillis, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (5.606906086045271 50.889233450000006),"55, Zilverdennenlaan, 3620, Zilverdennenlaan, Lanaken, Limburg, België / Belgique / Belgien"
POINT (4.299331312360593 50.6796333),"13, Rue Jean Theys, 1440, Rue Jean Theys, Wauthier-Braine, Brabant wallon, België / Belgique / Belgien"
POINT (5.7066471 50.4900656),"Rue Redoute, 4920, Aywaille, Liège, België / Belgique / Belgien"
POINT (5.7066471 50.4900656),"Rue Redoute, 4920, Aywaille, Liège, België / Belgique / Belgien"
POINT (4.4329972 51.1943524),"Berchem, 2600, Antwerpen, Antwerpen, België / Belgique / Belgien"
POINT (5.8588671 50.4901458),"Rue Auguste Laporte, 4900, Spa, Liège, België / Belgique / Belgien"
POINT (3.852598047274 50.65025435),"31, Rue Centrale, 7822, Rue Centrale, Meslin l'Eveque, Hainaut, België / Belgique / Belgien"
POINT (4.360758420752426 50.86036625),"Brussel Noord - Bruxelles Nord, Rue du Progrès - Vooruitgangstraat, 1030, Rue du Progrès - Vooruitgangstraat, Schaerbeek - Schaarbeek, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.5279013 50.5665367),"La Brasserie de Rigenée, 62, Rue du Châtelet, 1495, Rue du Châtelet, Villers-la-Ville, Brabant wallon, België / Belgique / Belgien"
POINT (4.3551643 50.8557098),"Boulevard Emile Jacqmain - Emile Jacqmainlaan, 1000, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (5.535287020452829 50.614505199999996),"Mosacier SA, 376, Rue Ernest Solvay, 4000, Rue Ernest Solvay, Liège, Liège, België / Belgique / Belgien"
POINT (4.4329972 51.1943524),"Berchem, 2600, Antwerpen, Antwerpen, België / Belgique / Belgien"
POINT (2.7663130353838197 51.12751335),"Industriezone Sint-Joris Nieuwpoort, 8620, Nieuwpoort, West-Vlaanderen, België / Belgique / Belgien"
POINT (4.5718993 51.2476531),"Brasschaatsebaan, 2970, Schilde, Antwerpen, België / Belgique / Belgien"
POINT (4.555966479136188 51.23311295),"70, Pater Nuyenslaan, 2970, Pater Nuyenslaan, Schilde, Antwerpen, België / Belgique / Belgien"
POINT (4.5507411 51.2633424),"De Kaak, 2970, Schilde, Antwerpen, België / Belgique / Belgien"
POINT (5.1759902 50.8172129),"Sint-Truiden, Stationsplein, 3800, Stationsplein, Sint-Truiden, Limburg, België / Belgique / Belgien"
POINT (4.267060827404615 51.0962504),"110, Cesar Van Kerckhovenstraat, 2880, Cesar Van Kerckhovenstraat, Bornem, Antwerpen, België / Belgique / Belgien"
POINT (5.679838635445655 50.754242250000004),"2, Rue de Lixhe, 4600, Rue de Lixhe, Visé, Liège, België / Belgique / Belgien"
POINT (5.2116869999999995 50.53433315),"Maison des jeunes de Wanze, 26, Rue Charles Moncousin, 4520, Rue Charles Moncousin, Wanze, Liège, België / Belgique / Belgien"
POINT (4.5279013 50.5665367),"La Brasserie de Rigenée, 62, Rue du Châtelet, 1495, Rue du Châtelet, Villers-la-Ville, Brabant wallon, België / Belgique / Belgien"
POINT (5.7323367 50.6359901),"Place de la Damzelle, 4630, Soumagne, Liège, België / Belgique / Belgien"
POINT (5.7568477 50.6363998),"36, Rue de la Clef, 4630, Rue de la Clef, Soumagne, Liège, België / Belgique / Belgien"
POINT (2.8695457260865247 51.03439365),"De Kupe, 15, Laure Fredericqlaan, 8600, Laure Fredericqlaan, Diksmuide, West-Vlaanderen, België / Belgique / Belgien"
POINT (5.695957 49.9980299),"Chaussée Romaine, 6600, Bastogne, Luxembourg, België / Belgique / Belgien"
POINT (4.8714235890243875 50.466342749999995),"Musée Africain de Namur, 1, Rue du Premier Lanciers, 5000, Rue du Premier Lanciers, Namur, Namur, België / Belgique / Belgien"
POINT (4.1382245 50.6057582),"Braine-le-Comte, Place de la Gare, 7090, Place de la Gare, Braine-le-Comte, Hainaut, België / Belgique / Belgien"
POINT (3.3935198 50.6050902),"Smart Tournai, 14, Rue Madame, 7500, Rue Madame, Tournai, Hainaut, België / Belgique / Belgien"
POINT (5.2334632 50.5207924),"Avenue des Fossés, 4500, Huy, Liège, België / Belgique / Belgien"
POINT (5.8619912 50.5928203),"O'Tacos, 2, Place Verte, 4800, Place Verte, Verviers, Liège, België / Belgique / Belgien"
POINT (4.4361958 50.2592973),"Walcourt, Rue de la Forge, 5650, Rue de la Forge, Walcourt, Namur, België / Belgique / Belgien"
POINT (4.363653424972298 50.84459495),"Parc de Bruxelles - Warandepark, 1000, België / Belgique / Belgien"
POINT (4.4256732 50.8430448),"Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe, 1200, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.6128839 50.6682012),"Louvain-la-Neuve, 1348, Ottignies-Louvain-la-Neuve, Brabant wallon, België / Belgique / Belgien"
POINT (4.3494172 50.8464291),"RainbowHouse Brussels, 42, Rue du Marché au Charbon - Kolenmarkt, 1000, Rue du Marché au Charbon - Kolenmarkt, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.50865559862522 51.008547),"Lidl, 474, Leuvensesteenweg, 2812, Leuvensesteenweg, Mechelen, Antwerpen, België / Belgique / Belgien"
POINT (4.3736203 50.8449577),"DG FISMA, 2, Rue de Spa - Spastraat, 1000, Rue de Spa - Spastraat, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.8762373 50.4616173),"Jambes Place Joséphine-Charlotte, Rue du Pont des Ardennes, 5100, Rue du Pont des Ardennes, Jambes, Namur, België / Belgique / Belgien"
POINT (5.5845138582547165 49.720649699999996),"1, Rue de la Forêt, 6724, Rue de la Forêt, Houdemont, Luxembourg, België / Belgique / Belgien"
POINT (4.823377 50.389973),"Bois-de-Villers, 5170, Profondeville, Namur, België / Belgique / Belgien"
POINT (6.103632341429688 50.411795999999995),"27, Rue des Hêtres, 4950, Rue des Hêtres, Waimes, Liège, België / Belgique / Belgien"
POINT (6.103632341429688 50.411795999999995),"27, Rue des Hêtres, 4950, Rue des Hêtres, Waimes, Liège, België / Belgique / Belgien"
POINT EMPTY,
POINT (4.028121306980588 50.845903),"29, Vlierlaan, 9400, Vlierlaan, Ninove, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (4.448313055177112 50.8438089),"La Rasante, 2, Chemin du Struykbeken - Struykbekenweg, 1200, Chemin du Struykbeken - Struykbekenweg, Woluwe-Saint-Lambert - Sint-Lambrechts-Woluwe, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (3.2168931 51.1958819),"1/6, Koning Albert I-laan, 8200, Koning Albert I-laan, Brugge, West-Vlaanderen, België / Belgique / Belgien"
POINT (4.432701106542972 51.20016955),"1-2, Burgemeester E. Ryckaertsplein, 2000, Burgemeester E. Ryckaertsplein, Antwerpen, Antwerpen, België / Belgique / Belgien"
POINT (4.099482782200845 51.031456399999996),"Justitiepaleis Dendermonde, 2, Justitieplein, 9200, Justitieplein, Dendermonde, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (4.1029177 51.0179587),"Van Langenhovestraat, 9200, Dendermonde, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (4.351763316696749 50.84652245),"Hôtel de Ville de Bruxelles - Stadhuis van Brussel, Rue de l'Amigo - Vruntstraat, 1000, Rue de l'Amigo - Vruntstraat, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (3.1245695061280037 50.9375403),"De Spil, 1, Hippoliet Spilleboutdreef, 8800, Hippoliet Spilleboutdreef, Roeselare, West-Vlaanderen, België / Belgique / Belgien"
POINT (4.830266 50.4578846),"Rue Jean-Joseph Gaillard, 5020, Namur, Namur, België / Belgique / Belgien"
POINT (4.830266 50.4578846),"Rue Jean-Joseph Gaillard, 5020, Namur, Namur, België / Belgique / Belgien"
POINT (4.252491154882479 50.565943149999995),"49, Grand-Rue de Feluy, 7181, Grand-Rue de Feluy, Feluy, Hainaut, België / Belgique / Belgien"
POINT (5.633924755525689 50.66574595),"Piscine communale de Herstal, 74, Large Voie, 4040, Large Voie, Herstal, Liège, België / Belgique / Belgien"
POINT EMPTY,
POINT (3.946221 50.4540422),"Square Franklin Roosevelt, 7000, Mons, Hainaut, België / Belgique / Belgien"
POINT (3.0263655 51.1295864),"Eernegem-Markt, 8480, Ichtegem, West-Vlaanderen, België / Belgique / Belgien"
POINT (4.3736203 50.8449577),"DG FISMA, 2, Rue de Spa - Spastraat, 1000, Rue de Spa - Spastraat, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.3569867 50.8454639),"Bruxelles-Central - Brussel-Centraal, Carrefour de l'Europe - Europakruispunt, 1000, Carrefour de l'Europe - Europakruispunt, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.4135153 50.9059631),"Avenue de Vilvorde - Vilvoordselaan, 1130, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (3.825207048274781 50.48095985),"6, Rue des Bonniers, 7331, Rue des Bonniers, Baudour, Hainaut, België / Belgique / Belgien"
POINT (4.3992554 50.7969497),"120, Chaussée de La Hulpe - Terhulpsesteenweg, 1180, Chaussée de La Hulpe - Terhulpsesteenweg, Uccle - Ukkel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.411428378970917 50.87904265),"1179, Chaussée de Haecht - Haachtsesteenweg, 1130, Chaussée de Haecht - Haachtsesteenweg, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (5.9467266407376105 50.5607301),"25, Rue des Fosses, 4845, Rue des Fosses, Jalhay, Liège, België / Belgique / Belgien"
POINT (4.305946734473641 51.23670985),"Engie Fabricom, 5, Vitshoekstraat, 2070, Vitshoekstraat, Zwijndrecht, Antwerpen, België / Belgique / Belgien"
POINT EMPTY,
POINT (5.2564629 50.6980166),"Hôtel de Ville de Waremme, 2, Rue Joseph Wauters, 4300, Rue Joseph Wauters, Waremme, Liège, België / Belgique / Belgien"
POINT (4.4280201 50.9364301),"Jan Frans Willemsstraat, 1800, Vilvoorde, Vlaams-Brabant, België / Belgique / Belgien"
POINT (4.404783586505825 51.22096105),"Sint-Carolus Borromeuskerk, 10-12, Hendrik Conscienceplein, 2000, Hendrik Conscienceplein, Antwerpen, Antwerpen, België / Belgique / Belgien"
POINT (4.3204443961465735 51.2341134),"1, Nieuwe Weg, 2070, Nieuwe Weg, Zwijndrecht, Antwerpen, België / Belgique / Belgien"
POINT (5.5647184 50.5869522),"12, Clos Mercator, 4000, Clos Mercator, Liège, Liège, België / Belgique / Belgien"
POINT (4.262891 50.508327),"Seneffe C.Richet, Rue Jules Bordet, 7180, Rue Jules Bordet, Seneffe, Hainaut, België / Belgique / Belgien"
POINT (4.262891 50.508327),"Seneffe C.Richet, Rue Jules Bordet, 7180, Rue Jules Bordet, Seneffe, Hainaut, België / Belgique / Belgien"
