id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12454.0,Appareil fixe-Vast apparaat,Brusselstraat,29.0,1760.0,Roosdaal,Vlaams-Brabant,"De AED bevindt zich aan de achterkant van de zaal ""Sportvlot"" nabij de ingang van het achtergelegen kunstgrasveld (helemaal achteraan de weg die vanaf de Brusselstraat rechts van het schoolgebouw loopt)",Oui-Ja,Oui-Ja,,50.84245945,4.072372930971433,"Brusselstraat 29 ,1760 ,Roosdaal"
12455.0,Appareil fixe-Vast apparaat,Strijtemplein,30.0,1760.0,Roosdaal,Vlaams-Brabant,Op voorgevel van het voormalige gemeentehuis (voor de gemeentelijke basisschool Triangel) in de nabijheid van de stoep,Oui-Ja,Oui-Ja,,50.8401438,4.1139582,"Strijtemplein 30 ,1760 ,Roosdaal"
12456.0,Appareil fixe-Vast apparaat,Koning Albertstraat,189.0,1760.0,Roosdaal,Vlaams-Brabant,"Op voorgevel van het oude gemeentehuis (voor de gemeenteschool Triangel) , vlakbij de stoep",Oui-Ja,Oui-Ja,,50.8225587,4.113298275485715,"Koning Albertstraat 189 ,1760 ,Roosdaal"
12457.0,Appareil fixe-Vast apparaat,Kerkstraat,4.0,1761.0,Roosdaal,Vlaams-Brabant,"Voorgevel OCMW-gebouw, vlakbij de stoep",Oui-Ja,Oui-Ja,,50.8496897,4.136697965933062,"Kerkstraat 4 ,1761 ,Roosdaal"
12459.0,Appareil fixe-Vast apparaat,Kapellestraat,70.0,9800.0,Deinze,Oost-Vlaanderen,"Gebouw 0 op RO (oude fabriek, Rechteroever), 2de verdiep - begin van voetgangerstunnel",Oui-Ja,Oui-Ja,,50.98266065,3.552795744686705,"Kapellestraat 70 ,9800 ,Deinze"
12461.0,Appareil fixe-Vast apparaat,avenue de la Libération ,2.0,5660.0,Couvin,Namur,Nomade,Non-Nee,Non-Nee,,50.0558188,4.4909614,"avenue de la Libération  2 ,5660 ,Couvin"
12462.0,Appareil fixe-Vast apparaat,Fonteinestraat ,22.0,8740.0,Pittem,West-Vlaanderen,Voorgevel,Oui-Ja,Oui-Ja,,50.9930882,3.2692477,"Fonteinestraat  22 ,8740 ,Pittem"
12463.0,Appareil fixe-Vast apparaat,Broeders Maristenstraat ,2.0,8740.0,Pittem,West-Vlaanderen,Bibliotheek,Oui-Ja,Oui-Ja,,50.9914863,3.26468,"Broeders Maristenstraat  2 ,8740 ,Pittem"
12464.0,Appareil fixe-Vast apparaat,Voldersstraat ,1.0,8740.0,Pittem,West-Vlaanderen,Dienstencentrum,Oui-Ja,Oui-Ja,,50.99554295,3.267664046783537,"Voldersstraat  1 ,8740 ,Pittem"
12465.0,Appareil fixe-Vast apparaat,Egemstraat,49.0,8740.0,Pittem,West-Vlaanderen,De Magneet,Oui-Ja,Oui-Ja,,50.9247576,3.9318246437048945,"Egemstraat 49 ,8740 ,Pittem"
